Stock Name,Stock Code,Price,24volume,Market Cap
Bitcoin,"$16,851.00",+0.02%,$10.91 B,.css-1vyy4qg{text-align:right;-webkit-padding-start:var(--chakra-space-2);padding-inline-start:var(--chakra-space-2);-webkit-padding-end:var(--chakra-space-2);padding-inline-end:var(--chakra-space-2);padding-top:var(--chakra-space-4);padding-bottom:var(--chakra-space-4);line-height:var(--chakra-lineHeights-5);border-bottom:var(--chakra-borders-1px);border-color:var(--chakra-colors-gray-100);font-size:12px;font-weight:var(--chakra-fontWeights-medium);}.css-1vyy4qg[data-is-numeric=true]{text-align:end;}@media screen and (min-width: 48em){.css-1vyy4qg{font-size:14px;-webkit-padding-start:var(--chakra-space-4);padding-inline-start:var(--chakra-space-4);-webkit-padding-end:var(--chakra-space-4);padding-inline-end:var(--chakra-space-4);}}
Ethereum,"$1,194.50",-0.06%,$3.39 B,$144.57 B
Tether,$1.02,-0.02%,$15.26 B,$66.17 B
USD Coin,$1.00,+0.00%,$1.23 B,$44.96 B
BNB,$250.50,+3.41%,$994.33 M,$39.49 B
Binance USD,$1.00,-0.12%,$3.06 B,$18.44 B
XRP,$0.3565,-0.51%,$361.02 M,$17.7 B
Dogecoin,$0.07926,+0.75%,$306.75 M,$10.34 B
Cardano,$0.2699,-0.37%,$221.32 M,$9.15 B
Polygon,$0.8262,+0.00%,$196.45 M,$7.07 B
Dai,$1.01,-0.03%,$91.02 M,$5.85 B
Wrapped TRON,$0.05422,+1.53%,$1.58 M,$5.51 B
Polkadot,$4.74,-0.59%,$103.71 M,$5.35 B
TRON,$0.05404,+0.75%,$188.74 M,$4.97 B
Shiba Inu,$0.000008711,+3.87%,$235.59 M,$4.67 B
Litecoin,$64.99,-1.18%,$423.66 M,$4.55 B
Solana,$13.01,-0.13%,$118.76 M,$4.54 B
HEX,$0.02556,+2.67%,$2.23 M,$4.43 B
Lido stETH,"$1,169.54",+0.05%,$6.88 M,$4.08 B
Uniswap,$5.48,-1.30%,$40.88 M,$4.07 B
UNUS SED LEO,$3.97,+1.26%,$2.14 M,$3.79 B
Avalanche,$12.08,-0.24%,$93.7 M,$3.69 B
Toncoin,$2.67,+9.02%,$44.62 M,$3.26 B
Wrapped Bitcoin,"$16,899.06",+0.01%,$52.14 M,$3.11 B
Chainlink,$6.07,-0.52%,$118.77 M,$3.04 B
Monero,$143.75,+0.36%,$49.72 M,$2.62 B
Cosmos,$9.10,+1.31%,$57.84 M,$2.53 B
Ethereum Classic,$16.43,-1.05%,$68.42 M,$2.22 B
Stellar,$0.07787,+2.21%,$27.75 M,$1.98 B
Bitcoin Cash,$104.04,+0.45%,$100.55 M,$1.97 B
Cronos,$0.05687,-0.62%,$8.77 M,$1.42 B
Algorand,$0.1939,-1.70%,$50.43 M,$1.35 B
OKB,$22.37,+2.92%,$13.18 M,$1.34 B
Quant,$112.42,-2.16%,$22.44 M,$1.32 B
ApeCoin,$3.54,+1.30%,$88.64 M,$1.26 B
VeChain,$0.01725,-1.37%,$23.33 M,$1.21 B
NEAR Protocol,$1.41,-2.14%,$37.65 M,$1.15 B
Hedera,$0.04638,+1.98%,$9.02 M,$1.09 B
Filecoin,$3.21,+1.61%,$138.35 M,$1.07 B
Frax,$0.9956,-0.34%,$2.37 M,$1.02 B
Internet Computer,$3.77,-2.24%,$16.1 M,$1.01 B
EOS,$0.9049,-0.26%,$55.58 M,$948.53 M
Pax Dollar,$0.9996,-0.05%,$1.24 M,$945.31 M
Wrapped BNB,$246.67,+3.07%,$88.43 M,$930.03 M
Elrond,$39.40,+0.81%,$16.26 M,$925.95 M
Bitcoin BEP2,"$16,690.16",-0.38%,$4.56 M,$892.38 M
Bitcoin SV,$45.16,-2.71%,$28.49 M,$869.45 M
Luna Classic,$0.0001563,-0.90%,$53.38 M,$845.68 M
Huobi Token,$5.51,+1.00%,$5.65 M,$845.71 M
Venus BNB,$9.44,+0.00%,N/A,$796.45 M
